fre_id,eng_id,fre_docname,eng_docname
001-47948,001-55627,PIZZETTI contre l'ITALIE,CASE OF PIZZETTI AGAINST ITALY
001-70774,001-172426,AFFAIRE YOURI ROMANOV c. RUSSIE,CASE OF RYABYKH AND 112 OTHER CASES AGAINST RUSSIA
001-94581,001-148997,AFFAIRE TSONYO TSONEV c. BULGARIE,CASE OF PETROV AND 9 OTHER CASES AGAINST BULGARIA
001-63663,001-192162,AFFAIRE BÜYÜKDAG c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
001-76650,001-196636,AFFAIRE HUSEYİN ESEN c. TURQUIE,CASE OF AFET SÜREYYA EREN AGAINST TURKEY AND 130 OTHER CASES
001-78789,001-23190,AFFAIRE GÖMİ ET AUTRES c. TURQUIE,GÖMI and OTHERS v. TURKEY
001-202716,001-233428,AFFAIRE ASSOCIATION  INNOCENCE EN DANGER ET ASSOCIATION ENFANCE ET PARTAGE c. FRANCE,CASE OF ASSOCIATION INNOCENCE EN DANGER AND ASSOCIATION ENFANCE ET PARTAGE AGAINST FRANCE AND 1 OTHER CASE
001-115860,001-115937,AFFAIRE TORREGGIANI ET AUTRES c. ITALIE,CASE OF TORREGGIANI AND OTHERS v. ITALY
001-95316,001-95317,AFFAIRE NORBERT SIKORSKI c. POLOGNE,CASE OF NORBERT SIKORSKI v. POLAND
001-146873,NaN,STELLA ET AUTRES c. ITALIE,NaN
001-200893,001-214839,AFFAIRE SUKACHOV c. UKRAINE,CASE OF SUKACHOV AGAINST UKRAINE AND 11 OTHER CASES
001-203561,001-215383,AFFAIRE DIKAIOU ET AUTRES c. GRÈCE,CASE OF SINGH AND OTHERS AGAINST GREECE AND 6 OTHER CASES
001-158750,001-222260,AFFAIRE BAMOUHAMMAD c. BELGIQUE,CASE OF BAMOUHAMMAD AGAINST BELGIUM
001-193261,001-193590,AFFAIRE CLASENS c. BELGIQUE,CASE OF CLASENS v. BELGIUM
001-211234,001-211461,AFFAIRE POLGAR c. ROUMANIE,CASE OF POLGAR v. ROMANIA
001-108934,001-178338,AFFAIRE I.M. c. FRANCE,CASE OF I.M. AGAINST FRANCE
001-68896,001-68897,AFFAIRE MÜSLIM c. TURQUIE,CASE OF MÜSLIM v. TURKEY
001-115497,003-3582001-4053691,AFFAIRE DE SOUZA RIBEIRO c. FRANCE,Forthcoming judgments 28-30.06.11
001-163615,001-164293,AFFAIRE R.D. c. FRANCE,CASE OF R.D. v. FRANCE
001-211119,001-211497,AFFAIRE E.H. c. FRANCE,CASE OF E.H. v. FRANCE
001-108155,001-108156,AFFAIRE YOH-EKALE MWANJE c. BELGIQUE,CASE OF YOH-EKALE MWANJE v. BELGIUM
001-217815,001-218199,AFFAIRE AKKAD c. TURQUIE,CASE OF AKKAD v. TURKEY
001-211366,001-211454,AFFAIRE D c. BULGARIE,CASE OF D v. BULGARIA
001-94918,001-111916,AFFAIRE FERRE GISBERT c. ESPAGNE,"CASE OF STONE COURT SHIPPING COMPANY, S.A. AND 7 OTHER CASES AGAINST SPAIN"
001-65575,001-61025,AFFAIRE KONTI-ARVANITI c. GRECE,CASE OF KONTI-ARVANITI v. GREECE
001-69731,001-196019,AFFAIRE NASTOU c. GRECE (N° 2),CASE OF NASTOU AGAINST GREECE AND 3 OTHER CASES
001-216921,001-217245,AFFAIRE VERRASCINA ET AUTRES c. ITALIE,CASE OF VERRASCINA AND OTHERS v. ITALY
001-66338,001-61780,AFFAIRE METAXAS c. GRECE,CASE OF METAXAS v. GREECE
001-92753,001-108129,AFFAIRE BIGAEVA c. GRECE,CASE OF BIGAEVA AGAINST GREECE
001-187104,NaN,BEECKMAN ET AUTRES c. BELGIQUE,NaN
001-113546,001-127572,AFFAIRE HULEA c. ROUMANIE,CASE OF HULEA AGAINST ROMANIA
001-191908,NaN,FRANTZESKAKI ET AUTRES c. GRÈCE,NaN
001-212192,NaN,DEMOKRAT PARTİ c. TURQUIE,NaN
001-161521,001-161792,AFFAIRE M.G. c. TURQUIE,CASE OF M.G. v. TURKEY
001-25744,001-51393,PAHOR contre l'ITALIE,PAHOR AGAINST ITALY
001-28839,001-87754,ANDECHA ASTUR contre l'ESPAGNE,ASSOCIATION ANDECHA ASTUR v. SPAIN
001-216625,001-216895,AFFAIRE ASSEMBLÉE CHRÉTIENNE DES TÉMOINS DE JÉHOVAH D’ANDERLECHT ET AUTRES c. BELGIQUE,CASE OF ANDERLECHT CHRISTIAN ASSEMBLY OF JEHOVAH’S WITNESSES AND OTHERS v. BELGIUM
001-89769,NaN,ALBOIZE-BARTHES ET ALBOIZE-MONTEZUME c. FRANCE,NaN
001-225768,001-226011,AFFAIRE SEMENYA c. SUISSE,CASE OF SEMENYA v. SWITZERLAND
001-204322,001-204685,AFFAIRE G.L. c. ITALIE,CASE OF G.L. v. ITALY
001-201868,001-202207,AFFAIRE CEGOLEA c. ROUMANIE,CASE OF CEGOLEA v. ROMANIA
001-98803,NaN,PETERKA c. REPUBLIQUE TCHEQUE,NaN
001-172590,NaN,GOURI c. FRANCE,NaN
001-207367,001-207680,AFFAIRE ATILLA TAŞ c. TURQUIE,CASE OF ATILLA TAŞ v. TURKEY
001-66257,001-61707,AFFAIRE SADAK c. TURQUIE,CASE OF SADAK v. TURKEY
001-66345,001-97139,AFFAIRE YURTTAS c. TURQUIE,CASE OF EYTISIM BASIN YAYIN REKLAM SANAT HIZMETLERI TICARET LIMITED SIRKETI AND YURTTAS  AGAINST TURKEY
001-208899,001-209483,AFFAIRE MURAT AKSOY c. TURQUIE,CASE OF MURAT AKSOY v. TURKEY
001-212394,001-212868,AFFAIRE VEDAT ŞORLİ c. TURQUIE,CASE OF VEDAT ŞORLİ v. TURKEY
001-72495,001-192162,AFFAIRE BILEN c. TURQUIE,CASE OF A. AND OTHERS AGAINST TURKEY AND 204 OTHER CASES
